,Restrurant Name,Latitude,Longitude
106,Flash Coffee - JEM,1.332529128,103.7433777
107,Potato Corner - Jcube,1.333207748,103.740294
108,Toast Box - JEM,1.333427,103.743345
109,Toast Box - Westgate,1.334075416,103.7426916
110,Gong Cha - Westgate,1.334197052,103.7421516
111,LiHO Tea - JEM,1.33334746,103.7431523
112,LiHO Tea - Jurong East MRT,1.3337588,103.7420768
113,Tonkatsu Bistro by Ma Maison - Westgate,1.333729779,103.7428863
114,Twelve Cupcakes - Jem,1.33326168,103.7431645
115,Ritz Apple Strudel - NG TENG FONG,1.3344533,103.744307
116,Fruit Paradise - JEM,1.332529128,103.7433777
117,Cat \\u0026 The Fiddle - Westgate,1.334209267,103.7431379
118,Tokyo Shokudo - Westgate,1.334118872,103.743227
119,Marche Movenpick - JEM,1.333338391,103.7431542
120,Aburi-EN - JEM,1.333421878,103.7432144
121,Miss Tea - Jcube,1.33321886,103.7402062
122,Churros Republic - Westgate,1.334022,103.742521
123,Nasty Cookie - Westgate,1.334738,103.742613
124,Ichiban Boshi - Jem,1.33341367,103.7431729
125,Seorae Korean Charcoal Bbq - JEM #B1-10,1.333394,103.743585
126,Monster Planet - Jem,1.333499959,103.74327
127,Ippudo - Westgate,1.333879308,103.742496
128,CHAGEE - Jcube,1.332908,103.740426
129,iSTEAKS - JEM,1.333588181,103.7435521
130,Xi Men Jie- Westgate,1.3342491,103.742804
131,Yomie\'s Rice X Yoghurt - Westgate,1.334044,103.743188
132,Boost Juice Bars - JEM,1.333364336,103.7435692
133,Huggs Collective - JEM,1.332529128,103.7433777
134,Nipong Naepong - JEM,1.333349799,103.7437552
135,Crystal Jade Hong Kong Kitchen - Westgate,1.334017942,103.743234
136,Food Republic - Westgate,1.334074,103.743107
137,Old Chang Kee - JEM,1.33351,103.743393
138,Wrap City - Vision Exchange,1.329899,103.744641
139,Royce\' - Westgate,1.3340848,103.7432564
140,Miam Miam - Westgate,1.334351584,103.7427781
141,Antoheetos - JEM,1.3333066,103.7435532
142,Old Street Bak Kut Teh - Westgate,1.3341261,103.7432978
143,Simple Burger Inc - JEM,1.333541,103.743555
144,Polar Puffs \\u0026 Cakes - JEM,1.332529,103.743378
145,Poulet - Westgate,1.334027,103.74249
146,Shaburi \\u0026 Kintan Buffet Restaurant - JEM,1.333535486,103.7433348
147,Pavilion Banana Leaf - Westgate,1.334738,103.742613
148,Sichuan Chef - Jurong East MRT Station,1.33214218,103.743005
149,Yew Kee Specialities - JEM,1.333729299,103.743557
150,Ahtti Korean Restaurant - Vision Exchange,1.330319,103.74456
151,Yun Nans - Westgate,1.3339249,103.7428725
152,Lady M - Westgate,1.333902705,103.7425156
153,Three Meals A Day - Jem,1.3325293,103.7433777
154,Ah Ma Chi Mian - JEM,1.332529,103.743378
155,85 Redhill Teochew Fishball Noodles - Westgate,1.334139279,103.7423936
156,The Salad Fork - JEM,1.332995113,103.7437859
157,Pezzo - JEM,1.33352136,103.7435546
158,Riverside Indonesian BBQ - Jem,1.33333541,103.7433395
159,Kazo - Jcube,1.332907,103.740439
160,Yan Ji Gourmet Seafood Soup- Westgate,1.33452628,103.7425786
161,328 Katong Laksa - Westgate,1.334738,103.742613
162,Oh My Mango - JCube,1.332907,103.740439
163,Awfully Chocolate - JEM,1.33349914,103.7436863
164,HockHua Tonic - Jem,1.332529128,103.7433777
165,PizzaMania - JEM,1.332529128,103.7433777
166,Famous Amos - JEM,1.333034092,103.7432978
167,Sushi Express - Westgate,1.334105875,103.7432927
168,A Kitchen - Vision Exchange,1.3302729,103.7446586
169,\xe5\x8f\x8b\xe9\x97\xb4\xe5\x8e\xa8\xe5\x9d\x8a A Kitchen - Vision Exchange,1.329899,103.744641
170,MP Thai - Vision Exchange,1.329899192,103.7446414
171,Devil Chicken - Jcube,1.33336888,103.740324
172,Brotzeit - Westgate,1.333713932,103.7426478
173,Chinatown Tan\'s Tutu - Westgate,1.3340541,103.7430964
174,Matchaya - Jem,1.332389163,103.743362
