,Restaurant name,Open Hours,Address
29,R&B Express - Newton Food Centre,"['Monday 00:00 - 02:00', 'Tuesday 00:00 - 01:30', 'Wednesday 18:00 - 23:59', 'Thursday 00:00 - 01:30\n18:00 - 23:59', 'Friday 00:00 - 02:30', 'Saturday 00:00 - 03:00', 'Sunday 22:00 - 23:59']","500 Clemenceau Ave North, #01-76, Newton, 229495"
30,Mumbai Spices & Naan Corner @ United Square /A Authentic North & South Indian Tandoori Restaurant - Goldhill Shopping Centre,['Monday - Sunday 00:00 - 04:00\n08:30 - 23:59'],"159, Thomson Road, Novena, 307612"
31,Madras Curry House - Upper Thomson Road,"['Monday, Thursday, Sunday 00:00 - 01:59\n09:37 - 23:59', 'Tuesday, Friday - Saturday 00:00 - 01:59\n09:38 - 23:59', 'Wednesday 00:00 - 01:59\n09:40 - 23:59']","263, Upper Thomson Road, Bishan, 574390"
32,Brindas - Bukit Merah Central,['Monday - Sunday 00:00 - 23:59'],"Blk 162 Bukit Merah Central, #01-3533, Bukit Merah, 150162"
33,Udders - Upper Thomson - Thomson Garden Estate,"['Monday 11:30 - 23:00', 'Tuesday - Thursday 12:00 - 23:00', 'Friday 11:00 - 23:59', 'Saturday 00:00 - 16:00', 'Sunday 00:00 - 01:00\n11:00 - 23:00']","246D Upper Thomson Road, Bishan, 574370"
34,Al Ameen - Cheong Chin Nam Road,['Monday - Sunday 00:00 - 02:30\n11:30 - 23:59'],"4, Cheong Chin Nam Road, Bukit Timah, 599729"
35,Indian Star Hut - Upper Thomson Road,"['Monday, Wednesday 00:00 - 01:59\n09:37 - 23:59', 'Tuesday, Saturday 00:00 - 01:59\n09:36 - 23:59', 'Thursday - Friday 00:00 - 01:59\n09:38 - 23:59', 'Sunday 00:00 - 01:59\n09:39 - 23:59']","263, Upper Thomson Road, Bishan, 574390"
36,The Mint Leaf Of Mumbai @ Scotts Road | Exotic Indian | Kebab | Curry Biryani Restaurant - Goldhill Shopping Centre,['Monday - Sunday 00:00 - 05:00\n08:30 - 23:59'],"159 Thomson Road, Novena, 307612"
37,Akbar 24 Hours Restaurant - Lim Teck Kim Road,['Monday - Sunday 00:00 - 23:59'],"2 Lim Teck Kim Road, Downtown Core, 088933"
38,Jb Ah Meng Restaurant - Geylang Road,['Monday - Sunday 00:00 - 01:30\n17:00 - 23:59'],"532/534 Geylang Road, Geylang, 389488"
